Spain,4.038.184.778,-3.793.472.647,2/8/2020,,1,0
Saint Lucia,139.094,-609.789,3/14/2020,,1,0
Denmark,6.250.602.841,-1.071.009.659,2/27/2020,,1,0
Mauritania,210.079,-1.014.510.546,3/25/2020,2,2,0
North Macedonia,416.086,217.453,5/5/2020,427,1526,86
Turkey,389.637,352.433,4/26/2020,78185,110130,2805
Philippines,1.289.563.657,1.218.039.235,3/6/2020,,5,1
Guatemala,157.835,-902.308,4/25/2020,415,473,13
Namibia,-229.576,184.904,4/8/2020,13,16,0
Thailand,1.575.487.506,100.993.521,3/30/2020,1286,1524,9
Seychelles,-46.796,55.492,5/5/2020,3,11,0
Portugal,393.999,-82.245,3/31/2020,7240,7443,160
Romania,4.595.155.294,2.497.168.235,5/6/2020,7455,14107,864
Singapore,1.292.405.882,1.038.315.132,3/28/2020,602,802,2
Luxembourg,4.981.516.765,6.129.908.824,3/30/2020,1926,1988,22
Antigua and Barbuda,170.608,-617.964,4/17/2020,17,23,3
Czech Republic,498.175,15.473,3/2/2020,,3,0
Saint Barthélemy,17.9,-628.333,3/6/2020,,3,0
Colombia,4.5709,-742.973,3/25/2020,458,470,4
Fiji,-177.134,178.065,3/26/2020,5,5,0
Andorra,425.063,1.5218,4/4/2020,428,466,17
Belarus,537.098,279.534,4/3/2020,294,351,4
Dominican Republic,187.357,-701.627,3/15/2020,,11,0
San Marino,439.424,12.4578,4/4/2020,200,259,32
Kyrgyzstan,4.120.438.157,7.476.609.816,4/5/2020,137,147,1
Bhutan,275.142,904.336,4/16/2020,3,5,0
Belgium,5.078.970.294,4.387.001.353,3/14/2020,,689,4
Ukraine,483.794,311.656,4/6/2020,1253,1319,38
Saint Kitts and Nevis,17.357.822,-62.782.998,5/5/2020,3,15,0
Japan,3.616.867.541,1.382.082.872,1/23/2020,,1,
Sweden,6.063.496.128,1.817.700.069,2/14/2020,,1,0
Sri Lanka,7.757.510.853,8.080.200.087,3/22/2020,79,82,0
El Salvador,137.942,-888.965,4/24/2020,191,274,8
Indonesia,-7.893,1.139.213,4/28/2020,7484,9511,773
Somalia,5.152.143.453,4.619.961.419,5/3/2020,646,722,32
Azerbaijan,401.431,475.769,4/21/2020,595,1480,20
Grenada,12.1165,-61.679,5/4/2020,8,21,0
Bosnia and Herzegovina,439.159,176.791,3/25/2020,171,176,3
Bolivia,-162.902,-635.887,4/16/2020,398,441,29
Niger,1.760.778.945,8.081.667.388,4/14/2020,466,570,14
Equatorial Guinea,1.642.422.222,1.025.301.667,3/17/2020,,1,0
Iran,3.235.239.377,5.356.662.003,3/1/2020,,978,54
Estonia,585.953,250.136,4/5/2020,1020,1097,15
Turkey,389.637,352.433,3/20/2020,,359,4
Moldova,474.116,283.699,4/9/2020,1210,1289,29
Thailand,1.575.487.506,100.993.521,5/2/2020,180,2966,54
Djibouti,11.8251,425.903,5/7/2020,331,1133,3
Sudan,12.8628,302.176,4/27/2020,232,275,22
Italy,4.207.100.412,1.246.725.677,2/23/2020,,155,3
India,2.066.538.894,7.879.296.265,2/27/2020,,3,0
Colombia,4.5709,-742.973,4/21/2020,3149,4149,196
Andorra,425.063,1.5218,3/10/2020,,1,0
Belarus,537.098,279.534,4/28/2020,10136,12208,79
Malaysia,3.908.636,1.038.329.883,2/5/2020,,12,0
Mauritius,-2.034.549.388,5.755.113.224,4/16/2020,234,324,9
Saudi Arabia,239.046.623,4.506.617.036,4/7/2020,2139,2795,41
Fiji,-177.134,178.065,4/20/2020,15,18,0
Portugal,393.999,-82.245,5/1/2020,22697,25351,1007
Brunei,4.5353,1.147.277,4/10/2020,36,136,1
Botswana,-223.285,246.849,4/13/2020,12,13,1
South Korea,36,128,2/29/2020,,3150,16
Panama,8.538,-807.821,3/10/2020,,1,0
Argentina,-384.161,-636.167,4/11/2020,1452,1975,83
Serbia,440.165,210.059,5/2/2020,7747,9362,189
Vatican City,419.029,12.4534,3/30/2020,6,6,0
Kazakhstan,480.196,669.237,3/20/2020,,49,3
Nicaragua,1.286.541.504,-8.520.722.726,5/3/2020,3,15,5
Finland,6.229.044.221,2.579.260.143,3/16/2020,,277,0
United Arab Emirates,2.350.030.547,5.386.795.656,2/24/2020,,13,0
Kenya,-236,379.062,3/13/2020,,1,0
China,3.281.307.921,1.116.545.378,4/3/2020,2425,82511,3326
Guinea,9.9456,-96.966,3/20/2020,,1,0
Nepal,2.820.697.059,8.422.776.471,4/28/2020,38,54,0
Japan,3.616.867.541,1.382.082.872,2/22/2020,,122,1
Maldives,3.2028,732.207,3/26/2020,5,13,0
France,8.031.540.935,-1.840.149.032,2/6/2020,,6,0
Jordan,311.606.303,3.647.707.879,3/12/2020,,1,0
Senegal,144.974,-144.524,3/8/2020,,4,0
Afghanistan,3.375.957.309,6.719.187.928,3/6/2020,,1,0
Austria,475.162,145.501,3/12/2020,,302,1
Lithuania,551.694,238.813,3/31/2020,522,537,8
New Zealand,-409.006,174.886,4/23/2020,344,1456,17
Vietnam,1.440.096.953,1.082.282.817,4/16/2020,91,268,0
Papua New Guinea,-6.314.993.286,143.955.548,4/22/2020,8,8,0
Vietnam,1.440.096.953,1.082.282.817,2/4/2020,,8,0
Haiti,189.712,-722.852,4/6/2020,23,24,1
United Kingdom,2.849.778.289,-4.010.833.153,3/6/2020,,163,2
Jordan,311.606.303,3.647.707.879,5/7/2020,104,494,9
Congo (Kinshasa),-4.268.557.052,1.653.063.474,4/22/2020,289,359,25
Chad,154.542,187.322,3/25/2020,3,3,0
MS Zaandam,0,0,4/25/2020,7,9,2
Burkina Faso,12.2383,-15.616,4/15/2020,284,542,32
United Arab Emirates,2.350.030.547,5.386.795.656,4/17/2020,5077,6302,37
Cuba,2.153.015.402,-7.782.009.911,3/31/2020,172,186,6
Austria,475.162,145.501,5/7/2020,1445,15752,609
Mexico,2.352.252.941,-1.024.552.471,3/30/2020,938,993,20
Japan,3.616.867.541,1.382.082.872,5/4/2020,10386,15078,536
Netherlands,2.393.416.965,-4.829.358.405,3/17/2020,,1708,43
Mongolia,468.625,1.038.467,3/29/2020,12,12,0
Nigeria,9.082,8.6753,4/23/2020,753,981,31
Australia,-2.950.541.803,141.133.904,3/29/2020,3724,3984,16
France,8.031.540.935,-1.840.149.032,4/18/2020,93217,149149,19345
Uganda,1.365.555.229,322.842.276,5/2/2020,36,88,0
Nepal,2.820.697.059,8.422.776.471,2/16/2020,,1,0
Kuwait,2.934.490.177,4.752.910.591,4/26/2020,2249,3075,20
Qatar,253.548,511.839,5/1/2020,12648,14096,12
Vatican City,419.029,12.4534,4/27/2020,7,9,0
Iceland,649.631,-190.208,4/5/2020,1054,1486,4
Kazakhstan,480.196,669.237,5/3/2020,2809,3920,27
Georgia,423.154,433.569,5/5/2020,355,604,9
Iraq,3.318.380.554,437.358.879,3/13/2020,,101,9
Russia,6.125.506.574,1.026.154.519,2/1/2020,,2,0
Canada,5.012.857.329,-8.882.930.329,3/5/2020,,37,0
Egypt,2.667.575.575,3.066.088.097,3/5/2020,,3,0
Argentina,-384.161,-636.167,3/14/2020,,34,2
Togo,8.6195,8.248,5/6/2020,42,128,9
Pakistan,303.753,693.451,5/7/2020,17595,24644,585
Afghanistan,3.375.957.309,6.719.187.928,4/19/2020,832,996,33
Bosnia and Herzegovina,439.159,176.791,3/21/2020,,93,1
Saint Kitts and Nevis,17.357.822,-62.782.998,5/1/2020,7,15,0
Ecuador,-18.312,-781.834,3/4/2020,,10,0
Poland,519.194,191.451,5/5/2020,9435,14431,716
Korea,South,3.591.094.447,1.277.749.558,4/12/2020,2930,10512
Guinea-Bissau,11.8037,-151.804,4/29/2020,185,205,1
Slovenia,461.512,149.955,3/17/2020,,275,1
Nicaragua,1.286.541.504,-8.520.722.726,3/20/2020,,1,0
Taiwan,23.7,121,2/18/2020,,22,1
Venezuela,6.4238,-665.897,4/15/2020,77,197,9
Cambodia,1.171.430.441,1.049.287.191,4/22/2020,12,122,0
Western Sahara,242.155,-128.858,5/3/2020,1,6,0
Barbados,131.939,-595.432,4/12/2020,56,71,4
New Zealand,-409.006,174.886,4/3/2020,764,868,1
Zimbabwe,-1.903.553.033,2.917.210.569,4/19/2020,20,25,3
Lithuania,551.694,238.813,4/20/2020,1047,1326,37
Oman,2.141.695.443,5.612.017.037,3/31/2020,157,192,1
Réunion,-211.151,555.364,3/15/2020,,7,0
Albania,411.533,201.683,3/21/2020,,76,2
Belize,1.710.303.044,-8.786.815.652,4/28/2020,7,18,2
Papua New Guinea,-6.314.993.286,143.955.548,4/2/2020,1,1,0
Syria,34.802.075,38.996.815,3/31/2020,8,10,2
Dominican Republic,187.357,-701.627,3/11/2020,,5,0
Monaco,437.339,7.417.629.412,3/2/2020,,1,0
Brazil,-14.235,-519.253,3/7/2020,,13,0
Vatican City,419.029,12.4534,3/18/2020,,1,0
Mali,17.570.692,-3.996.166,4/19/2020,168,224,14
Lithuania,551.694,238.813,3/11/2020,,3,0
Honduras,15.2,-862.419,3/31/2020,131,141,7
Antigua and Barbuda,170.608,-617.964,4/4/2020,15,15,0
Algeria,280.339,1.6596,3/31/2020,626,716,44
Spain,4.038.184.778,-3.793.472.647,4/30/2020,76842,213435,24543
Others,354.437,139.638,3/2/2020,,705,6
India,2.066.538.894,7.879.296.265,3/17/2020,,142,3
Lebanon,338.547,358.623,4/10/2020,513,609,20
Djibouti,11.8251,425.903,4/24/2020,667,999,2
Paraguay,-234.425,-584.438,4/14/2020,130,159,7
Ireland,5.314.637.536,-7.696.562.319,4/27/2020,9313,19648,1102
Italy,4.207.100.412,1.246.725.677,3/5/2020,,3858,148
